"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5873","Test-14: Verify navigation to the Wish List page loads successfully","firefox","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","6024","Test-06: Verify user can successfully edit an existing address","webkit","2026-06-01","passed","2026-06-01","Address and Shipping Service","addressShipping.spec.js","",""
"","3087","Test-01: Verify navigating to the Address Book page loads successfully","firefox","2026-06-01","passed","2026-06-01","Address and Shipping Service","addressShipping.spec.js","",""
"","5084","Test-01: Verify adding a standard product to the cart from homepage","webkit","2026-06-01","passed","2026-06-01","Shopping Cart Tests","shoppingCart.spec.js","",""
"","4901","Test-04: Verify submitting the Add Address form with all blank fields triggers mandatory field warnings","webkit","2026-06-01","passed","2026-06-01","Address and Shipping Service","addressShipping.spec.js","",""
"","4542","Test-10: Verify navigation to the Returns page loads successfully","firefox","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","4853","Test-07: Verify successfull registration with mandatory and optional fields","firefox","2026-06-01","passed","2026-06-01","Authentication Service Tests","authentication.spec.js","",""
"","6478","Test-11: Verify applying an invalid Coupon Code triggers the correct warning message","webkit","2026-06-01","passed","2026-06-01","Shopping Cart Tests","shoppingCart.spec.js","",""
"","25962","Test-01: Verify navigating to the Address Book page loads successfully","webkit","2026-06-01","passed","2026-06-01","Address and Shipping Service","addressShipping.spec.js","",""
"","18045","Test-15: Validate total price at checkout matches the final confirmation page","webkit","2026-06-01","passed","2026-06-01","Checkout and Payment Service > test suits which need to login","checkoutPayment.spec.js","",""
"","4977","Test-01: Verify the user can successfully edit their Account Information","firefox","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","18666","Test-10: Confirm the order and verify the success page","webkit","2026-06-01","passed","2026-06-01","Checkout and Payment Service > test suits which need to login","checkoutPayment.spec.js","",""
"","2932","Test-06: Verify navigation to the Order History page loads successfully","firefox","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","3603","Test-04: Verify login fails when submitting empty fields","firefox","2026-06-01","passed","2026-06-01","Authentication Service Tests","authentication.spec.js","",""
"","5539","Test-03: Verify user can successfully add a new valid address","firefox","2026-06-01","passed","2026-06-01","Address and Shipping Service","addressShipping.spec.js","",""
"","5010","Test-03: Verify the success message appears immediately when a product is added","webkit","2026-06-01","passed","2026-06-01","Shopping Cart Tests","shoppingCart.spec.js","",""
"","3888","Test-04: Verify the user can successfully change their password","webkit","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","4043","Test-15: Verify attempting to proceed to checkout with an empty cart is handled","webkit","2026-06-01","passed","2026-06-01","Shopping Cart Tests","shoppingCart.spec.js","",""
"","2585","Test-07: Verify clicking View on a past order shows order details","webkit","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","6153","Test-01: Verify successfull login with valid credentials","webkit","2026-06-01","passed","2026-06-01","Authentication Service Tests","authentication.spec.js","",""
"","3824","Test-02: Verify clearing a mandatory field and submitting throws a validation error","webkit","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","3115","Test-10: Verify navigation to the Returns page loads successfully","webkit","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","5341","Test-07: Verify updating the quantity of a product recalculates the total","firefox","2026-06-01","passed","2026-06-01","Shopping Cart Tests","shoppingCart.spec.js","",""
"","6859","Test-08: Verify removing a product using the red Remove button in the cart grid","webkit","2026-06-01","passed","2026-06-01","Shopping Cart Tests","shoppingCart.spec.js","",""
"","16038","Test-06: Add comments to the order during the delivery method step","webkit","2026-06-01","passed","2026-06-01","Checkout and Payment Service > test suits which need to login","checkoutPayment.spec.js","",""
"","5148","Test-11: Verify all mandatory warning messages appear when submitting a blank registration form","webkit","2026-06-01","passed","2026-06-01","Authentication Service Tests","authentication.spec.js","",""
"","19543","Test-02: Proceed to checkout as a logged-in user","webkit","2026-06-01","passed","2026-06-01","Checkout and Payment Service > test suits which need to login","checkoutPayment.spec.js","",""
"","17583","Test-07: Select Cash On Delivery as the payment method","webkit","2026-06-01","passed","2026-06-01","Checkout and Payment Service > test suits which need to login","checkoutPayment.spec.js","",""
"","5231","Test-08: Verify removing a product using the red Remove button in the cart grid","firefox","2026-06-01","passed","2026-06-01","Shopping Cart Tests","shoppingCart.spec.js","",""
"","2940","Test-05: Verify password mismatch in the confirm field throws a validation error","firefox","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","4536","Test-11: Verify clicking a product thumbnail navigates to the correct Product Details Page","firefox","2026-06-01","passed","2026-06-01","Product Management Service Tests","productManagement.spec.js","",""
"","4454","Test-06: Verify navigating to sub category from leftside menu","webkit","2026-06-01","passed","2026-06-01","Product Management Service Tests","productManagement.spec.js","",""
"","6948","Test-03: Verify mandatory fields in the Billing Details step","webkit","2026-06-01","passed","2026-06-01","Checkout and Payment Service > test suits which does not need to login","checkoutPayment.spec.js","",""
"","3285","Test-03: Verify the Back button on the Edit Account page returns to the dashboard","webkit","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","5069","Test-14: Verify submitting a product review with valid data displays the success banner","firefox","2026-06-01","passed","2026-06-01","Product Management Service Tests","productManagement.spec.js","",""
"","3546","Test-08: Verify sorting products by Price (Low > High) correctly orders the results","firefox","2026-06-01","passed","2026-06-01","Product Management Service Tests","productManagement.spec.js","",""
"","5369","Test-13: Verify the main product image can be clicked and opened in the lightbox modal","webkit","2026-06-01","passed","2026-06-01","Product Management Service Tests","productManagement.spec.js","",""
"","5866","Test-12: Verify the Forgot Password successfully sends a reset link with a registered email","webkit","2026-06-01","passed","2026-06-01","Authentication Service Tests","authentication.spec.js","",""
"","4432","Test-04: Verify search in product descriptions checkbox finds secondary keywords","firefox","2026-06-01","passed","2026-06-01","Product Management Service Tests","productManagement.spec.js","",""
"","4628","Test-05: Verify the Region/State dropdown dynamically populates when a Country is selected","webkit","2026-06-01","passed","2026-06-01","Address and Shipping Service","addressShipping.spec.js","",""
"","5458","Test-13: Verify the Forgot Password displays error message warning for unregistered email","webkit","2026-06-01","passed","2026-06-01","Authentication Service Tests","authentication.spec.js","",""
"","3167","Test-06: Verify navigation to the Order History page loads successfully","webkit","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","3793","Test-03: Verify submitting an empty search throws the correct warning message","webkit","2026-06-01","passed","2026-06-01","Product Management Service Tests","productManagement.spec.js","",""
"","4803","Test-13: Verify the Estimate Shipping & Taxes accordion requires country/zone selections","firefox","2026-06-01","passed","2026-06-01","Shopping Cart Tests","shoppingCart.spec.js","",""
"","3583","Test-03: Verify login fails with invalid email format","firefox","2026-06-01","passed","2026-06-01","Authentication Service Tests","authentication.spec.js","",""
"","4525","Test-08: Verify registration fails if duplicate mailID is used","firefox","2026-06-01","passed","2026-06-01","Authentication Service Tests","authentication.spec.js","",""
